model,fixed_gate_alpha,quantile,threshold,fpr_val,fpr_test,n_val,n_test
gated,0.3,0.95,0.27827349305152893,0.05002744990392534,0.01659270692649045,14572,20732
gated,0.3,0.97,0.5482093691825867,0.030057644798243206,0.0059810920316419065,14572,20732
gated,0.3,0.99,1.9125770330429077,0.010019214932747735,0.00024117306579201234,14572,20732
gated,0.3,0.999,4.4223833084106445,0.0010293713972001099,0.0001447038394752074,14572,20732
gated,0.5,0.95,0.37348267436027527,0.05002744990392534,0.012637468647501447,14572,20732
gated,0.5,0.97,0.5955075621604919,0.030057644798243206,0.005305807447424271,14572,20732
gated,0.5,0.99,2.009490489959717,0.010019214932747735,0.0002894076789504148,14572,20732
gated,0.5,0.999,4.464553356170654,0.0010293713972001099,0.0001447038394752074,14572,20732
gated,0.7,0.95,0.5502235889434814,0.05002744990392534,0.010273972602739725,14572,20732
gated,0.7,0.97,0.7682610154151917,0.030057644798243206,0.004244645957939417,14572,20732
gated,0.7,0.99,2.206820011138916,0.010019214932747735,0.0002894076789504148,14572,20732
gated,0.7,0.999,4.608057975769043,0.0010293713972001099,0.0001447038394752074,14572,20732
