model,fixed_gate_alpha,quantile,threshold,fpr_val,fpr_test,n_val,n_test
gated,0.3,0.95,0.44554099440574646,0.05004030091348737,0.015028332101502834,14888,16236
gated,0.3,0.97,0.680257260799408,0.030024180548092423,0.005789603350578961,14888,16236
gated,0.3,0.99,1.7892663478851318,0.010008060182697474,0.0003695491500369549,14888,16236
gated,0.3,0.999,4.210200309753418,0.0010075228371843096,0.0002463661000246366,14888,16236
gated,0.5,0.95,0.55108243227005,0.05004030091348737,0.013426952451342695,14888,16236
gated,0.5,0.97,0.7690106630325317,0.030024180548092423,0.004557772850455778,14888,16236
gated,0.5,0.99,1.9227490425109863,0.010008060182697474,0.0003695491500369549,14888,16236
gated,0.5,0.999,4.277937412261963,0.0010075228371843096,0.0002463661000246366,14888,16236
gated,0.7,0.95,0.7454248070716858,0.05004030091348737,0.0131189948263119,14888,16236
gated,0.7,0.97,0.9768568873405457,0.030024180548092423,0.0037570830253757085,14888,16236
gated,0.7,0.99,2.145808458328247,0.010008060182697474,0.0003695491500369549,14888,16236
gated,0.7,0.999,4.402719974517822,0.0010075228371843096,0.0002463661000246366,14888,16236
