model,file,auroc,best_threshold,adj_f1,adj_precision,adj_recall,tp,fp,fn,tn
gated,trip_G_1_1.csv,0.8276442192802179,-0.024309325218200683,0.6630434782158259,0.4959349593491903,0.9999999999983606,61,62,0,1653
gated,trip_G_1_2.csv,0.8496584282699366,-0.4701184332370758,0.33701657455742656,0.2026578073089028,0.9999999999983606,61,240,0,1399
gated,trip_G_2_1.csv,0.8442137937724319,32.86379120945931,0.7692307691807877,0.9302325581373715,0.6557377049169578,40,3,21,1856
gated,trip_G_2_2.csv,0.7721521110225986,-0.7633003573864698,0.20819112626114047,0.11619047619045404,0.9999999999983606,61,464,0,1491
gated,trip_J_1_1.csv,0.7887740029542097,0.7695736676454544,0.706896551677824,0.5466666666663023,0.9999999999987804,82,68,0,1286
gated,trip_J_1_2.csv,0.8237096153392979,4.0002238869667055,0.672268907511927,0.689655172412604,0.6557377049169578,40,18,21,2069
gated,trip_J_2_1.csv,0.8387966004180292,18.02761869430542,0.7476635513514543,0.869565217389414,0.6557377049169578,40,6,21,2245
gated,trip_J_2_2.csv,0.9353607116534974,2.599956676363945,0.767295597433361,0.7922077922067633,0.7439024390234831,61,16,21,2830
gaussian,trip_G_1_1.csv,0.8275677484108398,51.989902925491336,0.7407407406902091,0.8510638297854233,0.6557377049169578,40,7,21,1708
gaussian,trip_G_1_2.csv,0.8512687664409526,-0.4134091466665268,0.34173669464934525,0.20608108108101147,0.9999999999983606,61,235,0,1404
gaussian,trip_G_2_1.csv,0.8454748278203511,41.75487136095762,0.7692307691807877,0.9302325581373715,0.6557377049169578,40,3,21,1856
gaussian,trip_G_2_2.csv,0.7935180914846338,-0.6175142467021942,0.2663755458283223,0.15365239294706456,0.9999999999983606,61,336,0,1619
gaussian,trip_J_1_1.csv,0.7831808192528011,1.6523921012878418,0.7627906976265223,0.6165413533829951,0.9999999999987804,82,51,0,1303
gaussian,trip_J_1_2.csv,0.8307005899125736,5.367891705036163,0.6956521738620189,0.740740740739369,0.6557377049169578,40,14,21,2073
gaussian,trip_J_2_1.csv,0.8280181485824151,22.038964641094207,0.7476635513514543,0.869565217389414,0.6557377049169578,40,6,21,2245
gaussian,trip_J_2_2.csv,0.9338866702089368,2.685708287358284,0.7530864197021644,0.7624999999990468,0.7439024390234831,61,19,21,2827
mse,trip_G_1_1.csv,0.7230894231228792,0.28392014279961586,0.31818181813162305,0.2957746478869073,0.3442622950814028,21,50,40,1665
mse,trip_G_1_2.csv,0.8566699006791426,0.20449792146682738,0.4822134386982018,0.3177083333331679,0.9999999999983606,61,131,0,1508
mse,trip_G_2_1.csv,0.64338309861639,0.0450813040137291,0.09783480351914774,0.05143338954468369,0.9999999999983606,61,1125,0,734
mse,trip_G_2_2.csv,0.7560605425349042,0.21080430150032042,0.36746987948785564,0.22509225092242618,0.9999999999983606,61,210,0,1745
mse,trip_J_1_1.csv,0.5615970746118096,0.6051900073885917,0.5029940119254617,0.4941176470582422,0.5121951219505949,42,43,40,1311
mse,trip_J_1_2.csv,0.7733981634945447,0.20614506900310517,0.19869706838594836,0.1103074141048625,0.9999999999983606,61,492,0,1595
mse,trip_J_2_1.csv,0.6680455316762677,0.4447247594594955,0.19905213266012894,0.13999999999990667,0.3442622950814028,21,129,40,2122
mse,trip_J_2_2.csv,0.8771832096395454,0.38959650993347167,0.4338624338282299,0.27702702702693344,0.9999999999987804,82,214,0,2632
