model,file,auroc,best_threshold,adj_f1,adj_precision,adj_recall,tp,fp,fn,tn
gated,trip_G_1_1.csv,0.8681928977680066,6.532281728088856,0.7619047618546212,0.9090909090888429,0.6557377049169578,40,4,21,1711
gated,trip_G_1_2.csv,0.9025895438041989,-0.40726928114891053,0.3986928104253342,0.24897959183663307,0.9999999999983606,61,184,0,1455
gated,trip_G_2_1.csv,0.8172294288309421,0.43843421936035154,0.8840579709638835,0.7922077922067633,0.9999999999983606,61,16,0,1843
gated,trip_G_2_2.csv,0.6348077648735903,-0.8701603412628174,0.1706293706137157,0.09327217125380836,0.9999999999983606,61,593,0,1362
gated,trip_I_1_1.csv,0.9535142296136832,-0.07481100559234619,0.6721311474958077,0.5061728395058605,0.9999999999987804,82,80,0,1982
gated,trip_I_1_2.csv,0.695575893705231,-0.8019330620765686,0.1701534169997265,0.0929878048780346,0.9999999999983606,61,595,0,872
gated,trip_I_2_1.csv,0.6563674321503131,-0.9286671817302704,0.0778210116656573,0.04048582995951007,0.9999999999975,40,948,0,968
gated,trip_I_2_2.csv,0.6957746138412821,2.8307840168476104,0.5633802816405474,0.6666666666655555,0.4878048780481856,40,20,42,1998
gaussian,trip_G_1_1.csv,0.8550016728002677,9.767799167335033,0.7619047618546212,0.9090909090888429,0.6557377049169578,40,4,21,1711
gaussian,trip_G_1_2.csv,0.8956680902989628,-0.4292421340942383,0.3218997361205784,0.19182389937100885,0.9999999999983606,61,257,0,1382
gaussian,trip_G_2_1.csv,0.7922292083704442,1.032105028629303,0.8905109488544088,0.8026315789463123,0.9999999999983606,61,15,0,1844
gaussian,trip_G_2_2.csv,0.6162760471259066,-1.2095384359359742,0.08373369937425808,0.043696275071630104,0.9999999999983606,61,1335,0,620
gaussian,trip_I_1_1.csv,0.9481618603770907,0.14413595497608184,0.7735849056122108,0.6307692307687456,0.9999999999987804,82,48,0,2014
gaussian,trip_I_1_2.csv,0.6744666823113972,1.88652071878314,0.44210526311100273,0.6176470588217128,0.3442622950814028,21,13,40,1454
gaussian,trip_I_2_1.csv,0.6437239039665972,-0.889548146724701,0.0747663551329758,0.03883495145630691,0.9999999999975,40,990,0,926
gaussian,trip_I_2_2.csv,0.7021259880586913,4.4387746274471285,0.5839416057905057,0.7272727272714049,0.4878048780481856,40,15,42,2003
mse,trip_G_1_1.csv,0.7102327582086699,0.09230702668428421,0.22676579923631585,0.12788259958068598,0.9999999999983606,61,416,0,1299
mse,trip_G_1_2.csv,0.8988887666409946,0.199717478454113,0.4979591836356652,0.3315217391302546,0.9999999999983606,61,123,0,1516
mse,trip_G_2_1.csv,0.6212576830483514,0.17168769985437393,0.16733067725391026,0.11052631578941552,0.3442622950814028,21,169,40,1690
mse,trip_G_2_2.csv,0.6543708859167331,0.07558739986270666,0.1418604651030662,0.07634543178972761,0.9999999999983606,61,738,0,1217
mse,trip_I_1_1.csv,0.856041967306191,0.3704280987381935,0.4772727272224173,0.4468085106378225,0.5121951219505949,42,52,40,2010
mse,trip_I_1_2.csv,0.6934638550850961,0.49809696674346926,0.4158415841097539,0.5249999999986875,0.3442622950814028,21,19,40,1448
mse,trip_I_2_1.csv,0.7005219206680584,0.13081514798104762,0.09815950919309571,0.05161290322579979,0.9999999999975,40,735,0,1181
mse,trip_I_2_2.csv,0.6189598491624163,0.25389024019241335,0.35057471260745476,0.2293233082705905,0.7439024390234831,61,205,21,1813
