model,file,auroc,best_threshold,adj_f1,adj_precision,adj_recall,tp,fp,fn,tn
gated,trip_F_1_1.csv,0.7872973028873996,0.4953097939491272,0.7513812154218736,0.6017699115038923,0.9999999999985294,68,45,0,2799
gated,trip_F_1_2.csv,0.5448062409414536,-0.9834089398384094,0.11233885818458819,0.05951219512194541,0.9999999999983606,61,964,0,1875
gated,trip_F_2_1.csv,0.7084380971537765,-0.01663719564676285,0.677777777732216,0.5126050420163759,0.9999999999983606,61,58,0,2713
gated,trip_F_2_2.csv,0.945320838884922,-0.07297892980277539,0.7922077921589222,0.6559139784939184,0.9999999999983606,61,32,0,2195
gated,trip_H_1_1.csv,0.7492999911948578,1.7593591690063477,0.7624999999490781,0.7820512820502794,0.7439024390234831,61,17,21,2753
gated,trip_H_1_2.csv,0.8352036418714801,-0.38744864910840987,0.3641791044476079,0.22262773722619614,0.9999999999983606,61,213,0,1746
gated,trip_H_2_1.csv,0.8541766225491215,4.422414344549179,0.938461538410284,0.8840579710132115,0.9999999999983606,61,8,0,2359
gated,trip_H_2_2.csv,0.737402455991773,1.6872915387153626,0.6201550387088757,0.588235294116782,0.6557377049169578,40,28,21,2411
gaussian,trip_F_1_1.csv,0.7844636799867626,0.6718422174453735,0.7311827956517517,0.5762711864401896,0.9999999999985294,68,50,0,2794
gaussian,trip_F_1_2.csv,0.5286379988335769,-0.7556809976696968,0.10544511667106493,0.055656934306564265,0.9999999999983606,61,1035,0,1804
gaussian,trip_F_2_1.csv,0.6895244067656229,0.6588262483477593,0.6060606060099748,0.5633802816893473,0.6557377049169578,40,31,21,2740
gaussian,trip_F_2_2.csv,0.9419493989561787,-0.1627648588269949,0.5837320573743734,0.4121621621618837,0.9999999999983606,61,87,0,2140
gaussian,trip_H_1_1.csv,0.7280179624900942,2.0564738392829893,0.7393939393430451,0.7349397590352591,0.7439024390234831,61,22,21,2748
gaussian,trip_H_1_2.csv,0.8357810525611093,-0.11867594420909881,0.37082066866257707,0.22761194029842255,0.9999999999983606,61,207,0,1752
gaussian,trip_H_2_1.csv,0.87161586569428,4.811857636272907,0.9037037036528285,0.8243243243232103,0.9999999999983606,61,13,0,2354
gaussian,trip_H_2_2.csv,0.7090852875741872,1.8366244792938233,0.5970149253226442,0.5479452054787014,0.6557377049169578,40,33,21,2406
mse,trip_F_1_1.csv,0.5961777115909654,0.39603154063224794,0.23829787229909644,0.16766467065858226,0.4117647058817474,28,139,40,2705
mse,trip_F_1_2.csv,0.6202772853521501,0.19808413088321686,0.31937172772168665,0.1900311526479159,0.9999999999983606,61,260,0,2579
mse,trip_F_2_1.csv,0.3743810306985109,0.25340149402618406,0.10243902436486496,0.0601719197707564,0.3442622950814028,21,328,40,2443
mse,trip_F_2_2.csv,0.9255117889979168,0.22257594168186187,0.3935483870649095,0.2449799196786165,0.9999999999983606,61,188,0,2039
mse,trip_H_1_1.csv,0.7532843180417363,0.38393684178590776,0.5109034267529197,0.3430962343094799,0.9999999999987804,82,157,0,2613
mse,trip_H_1_2.csv,0.8149942677344579,0.29485209584236144,0.40802675582009157,0.2563025210082957,0.9999999999983606,61,177,0,1782
mse,trip_H_2_1.csv,0.8188964380449764,0.24068813323974608,0.2396856581320514,0.1361607142856839,0.9999999999983606,61,387,0,1980
mse,trip_H_2_2.csv,0.3595735957359574,0.005362426210194826,0.051390058967187534,0.026372676178122507,0.9999999999983606,61,2252,0,187
