model,file,auroc,best_threshold,adj_f1,adj_precision,adj_recall,tp,fp,fn,tn
gated,trip_C_1_1.csv,0.8507992579903609,0.1872899193316698,0.595121951177128,0.42361111111081695,0.9999999999983606,61,83,0,1764
gated,trip_C_1_2.csv,0.8466276859404702,0.03925519436597824,0.08786610877817352,0.04595185995622627,0.9999999999952381,21,436,0,1543
gated,trip_C_2_1.csv,0.7544813413665873,1.1118321418762207,0.7870967741447992,0.6489361702120756,0.9999999999983606,61,33,0,1722
gated,trip_C_2_2.csv,0.8698952223391989,0.13676256760954858,0.5865384614964451,0.41496598639427557,0.9999999999983606,61,86,0,1549
gated,trip_I_1_1.csv,0.7623370632348418,0.42890152558684347,0.8961748633375376,0.811881188118008,0.9999999999987804,82,19,0,2043
gated,trip_I_1_2.csv,0.5254704301075269,-0.9691581130027771,0.07407407406692729,0.03846153846153476,0.9999999999975,40,1000,0,488
gated,trip_I_2_1.csv,0.656853670141442,0.6808187365531921,0.661157024742299,0.6666666666655555,0.6557377049169578,40,20,21,1875
gated,trip_I_2_2.csv,0.8107477950457874,0.7932254076004028,0.6201550387088757,0.588235294116782,0.6557377049169578,40,28,21,2011
gaussian,trip_C_1_1.csv,0.8241454906938145,0.4878508225083351,0.40264026399397884,0.2520661157023752,0.9999999999983606,61,181,0,1666
gaussian,trip_C_1_2.csv,0.7962414880050049,0.04227495267987251,0.06140350876596003,0.0316742081447916,0.9999999999952381,21,642,0,1337
gaussian,trip_C_2_1.csv,0.7038251366120218,3.5516379833221436,0.7770700636457625,0.6354166666660047,0.9999999999983606,61,35,0,1720
gaussian,trip_C_2_2.csv,0.8604301398706572,0.478656142950058,0.5213675213285303,0.35260115606916037,0.9999999999983606,61,112,0,1523
gaussian,trip_I_1_1.csv,0.752489886683542,0.7959867596626282,0.83673469382803,0.7192982456134042,0.9999999999987804,82,32,0,2030
gaussian,trip_I_1_2.csv,0.49203629032258067,-0.8975372910499573,0.07252946508819184,0.03762935089369354,0.9999999999975,40,1023,0,465
gaussian,trip_I_2_1.csv,0.6382196461784679,4.844576334953308,0.7547169810817906,0.8888888888869135,0.6557377049169578,40,5,21,1890
gaussian,trip_I_2_2.csv,0.8012445830887851,0.9859802335500717,0.5633802816403392,0.4938271604932175,0.6557377049169578,40,41,21,1998
mse,trip_C_1_1.csv,0.7456664329395475,0.8216962158679962,0.35294117642002687,0.3620689655166171,0.3442622950814028,21,37,40,1810
mse,trip_C_1_2.csv,0.9026203710387641,0.49459236636757853,0.21989528793831312,0.12352941176463322,0.9999999999952381,21,149,0,1830
mse,trip_C_2_1.csv,0.6359534818551212,0.4438075482845306,0.34366197180233127,0.20748299319720834,0.9999999999983606,61,233,0,1522
mse,trip_C_2_2.csv,0.8676793502782374,0.6094705946743488,0.655913978449838,0.4879999999996096,0.9999999999983606,61,64,0,1571
mse,trip_I_1_1.csv,0.7046793309834166,0.32712837159633634,0.3783783783314504,0.2999999999997857,0.5121951219505949,42,98,40,1964
mse,trip_I_1_2.csv,0.6027217741935484,0.1288983553647995,0.11111111110058641,0.05882352941175605,0.9999999999975,40,640,0,848
mse,trip_I_2_1.csv,0.7702841818417752,0.33364729285240174,0.42214532868612686,0.26754385964900546,0.9999999999983606,61,167,0,1728
mse,trip_I_2_2.csv,0.6023524871561919,0.465187081694603,0.25301204814597905,0.19999999999980952,0.3442622950814028,21,84,40,1955
