model,fixed_gate_alpha,quantile,threshold,fpr_val,fpr_test,n_val,n_test
gated,0.3,0.95,0.49087288975715637,0.05002744990392534,0.024425666754687086,14572,15148
gated,0.3,0.97,0.7833405137062073,0.030057644798243206,0.009770266701874836,14572,15148
gated,0.3,0.99,2.656557083129883,0.010019214932747735,0.0009242144177449168,14572,15148
gated,0.3,0.999,4.437537670135498,0.0010293713972001099,0.00019804594665962503,14572,15148
gated,0.5,0.95,0.6143338680267334,0.05002744990392534,0.022841299181410087,14572,15148
gated,0.5,0.97,0.883402407169342,0.030057644798243206,0.00878003696857671,14572,15148
gated,0.5,0.99,2.70090651512146,0.010019214932747735,0.0008581991021917085,14572,15148
gated,0.5,0.999,4.455494403839111,0.0010293713972001099,0.00019804594665962503,14572,15148
gated,0.7,0.95,0.8239158391952515,0.05002744990392534,0.022709268550303672,14572,15148
gated,0.7,0.97,1.0918452739715576,0.030057644798243206,0.009836282017428043,14572,15148
gated,0.7,0.99,2.8642983436584473,0.010019214932747735,0.0006601531555320834,14572,15148
gated,0.7,0.999,4.60950231552124,0.0010293713972001099,0.00019804594665962503,14572,15148
