model,fixed_gate_alpha,quantile,threshold,fpr_val,fpr_test,n_val,n_test
gated,0.3,0.95,0.20983844995498657,0.05004924895345974,0.0178335535006605,16244,15140
gated,0.3,0.97,0.33817481994628906,0.030041861610440777,0.010568031704095112,16244,15140
gated,0.3,0.99,0.620367705821991,0.010034474267421817,0.003236459709379128,16244,15140
gated,0.3,0.999,1.1331712007522583,0.0010465402610194533,0.0005944517833553501,16244,15140
gated,0.5,0.95,0.3170679807662964,0.05004924895345974,0.015059445178335535,16244,15140
gated,0.5,0.97,0.43272820115089417,0.030041861610440777,0.008520475561426684,16244,15140
gated,0.5,0.99,0.6776976585388184,0.010034474267421817,0.0028401585204755613,16244,15140
gated,0.5,0.999,1.1444337368011475,0.0010465402610194533,0.0005944517833553501,16244,15140
gated,0.7,0.95,0.5276259183883667,0.05004924895345974,0.012549537648612946,16244,15140
gated,0.7,0.97,0.6338900923728943,0.030041861610440777,0.006935270805812417,16244,15140
gated,0.7,0.99,0.8602914214134216,0.010034474267421817,0.0017833553500660503,16244,15140
gated,0.7,0.999,1.3261231184005737,0.0010465402610194533,0.0005944517833553501,16244,15140
